Datetime,Miner Reserve
2024-04-10T00:00:00Z,1822991.38097411
2024-04-09T00:00:00Z,1822591.13584274
2024-04-08T00:00:00Z,1822011.62306897
2024-04-07T00:00:00Z,1821432.1954297
2024-04-06T00:00:00Z,1821941.95192053
2024-04-05T00:00:00Z,1821778.46226101
2024-04-04T00:00:00Z,1821644.84222978
2024-04-03T00:00:00Z,1821438.11457337
2024-04-02T00:00:00Z,1821333.7049382
2024-04-01T00:00:00Z,1821486.73849353
2024-03-31T00:00:00Z,1822027.21950182
2024-03-30T00:00:00Z,1821853.52367596
2024-03-29T00:00:00Z,1821668.36805106
2024-03-28T00:00:00Z,1822149.70191131
2024-03-27T00:00:00Z,1821461.33147762
2024-03-26T00:00:00Z,1821875.00669481
2024-03-25T00:00:00Z,1825764.36684848
2024-03-24T00:00:00Z,1824140.62563877
2024-03-23T00:00:00Z,1823569.86914744
2024-03-22T00:00:00Z,1823664.85703347
2024-03-21T00:00:00Z,1824456.75107111
2024-03-20T00:00:00Z,1824455.67093131
2024-03-19T00:00:00Z,1825396.47954226
2024-03-18T00:00:00Z,1824693.73489613
2024-03-17T00:00:00Z,1824357.64076884
2024-03-16T00:00:00Z,1824494.8151586
2024-03-15T00:00:00Z,1826247.04631404
2024-03-14T00:00:00Z,1825188.64435563
2024-03-13T00:00:00Z,1824721.73979459
2024-03-12T00:00:00Z,1825338.78617993
2024-03-11T00:00:00Z,1825113.55731323
2024-03-10T00:00:00Z,1825501.03281071
2024-03-09T00:00:00Z,1825556.91207595
2024-03-08T00:00:00Z,1825602.07123971
2024-03-07T00:00:00Z,1825541.61422581
2024-03-06T00:00:00Z,1825677.72513215
2024-03-05T00:00:00Z,1825713.64385156
2024-03-04T00:00:00Z,1829194.45493344
2024-03-03T00:00:00Z,1826085.37841305
2024-03-02T00:00:00Z,1825182.20554379
2024-03-01T00:00:00Z,1826300.36785993
2024-02-29T00:00:00Z,1829758.32734148
2024-02-28T00:00:00Z,1829262.03319692
2024-02-27T00:00:00Z,1828425.5472669
2024-02-26T00:00:00Z,1829893.92751142
2024-02-25T00:00:00Z,1827291.41905236
2024-02-24T00:00:00Z,1827090.22960599
2024-02-23T00:00:00Z,1827365.53352792
2024-02-22T00:00:00Z,1828558.71750889
2024-02-21T00:00:00Z,1828589.96991507
2024-02-20T00:00:00Z,1828315.55474319
2024-02-19T00:00:00Z,1828341.23779142
2024-02-18T00:00:00Z,1828515.62317845
2024-02-17T00:00:00Z,1828567.94285987
2024-02-16T00:00:00Z,1828684.28578247
2024-02-15T00:00:00Z,1828898.77134742
2024-02-14T00:00:00Z,1829039.47378153
2024-02-13T00:00:00Z,1828282.19001565
2024-02-12T00:00:00Z,1828548.97506504
2024-02-11T00:00:00Z,1829022.73291031
2024-02-10T00:00:00Z,1829513.05587925
2024-02-09T00:00:00Z,1830380.14034315
2024-02-08T00:00:00Z,1830947.62975746
2024-02-07T00:00:00Z,1831401.00896945
2024-02-06T00:00:00Z,1830296.77755947
2024-02-05T00:00:00Z,1831161.08358631
2024-02-04T00:00:00Z,1832363.32908596
2024-02-03T00:00:00Z,1832374.16634827
2024-02-02T00:00:00Z,1832423.50567396
2024-02-01T00:00:00Z,1832225.26838811
2024-01-31T00:00:00Z,1835091.07275847
2024-01-30T00:00:00Z,1834419.95513071
2024-01-29T00:00:00Z,1835005.27182972
2024-01-28T00:00:00Z,1836107.55068661
2024-01-27T00:00:00Z,1835284.03776872
2024-01-26T00:00:00Z,1834961.07693762
2024-01-25T00:00:00Z,1835118.7356131
2024-01-24T00:00:00Z,1834223.99664734
2024-01-23T00:00:00Z,1834559.08870287
2024-01-22T00:00:00Z,1834770.4745544
2024-01-21T00:00:00Z,1834533.89015901
2024-01-20T00:00:00Z,1834295.42972174
2024-01-19T00:00:00Z,1834602.49759664
2024-01-18T00:00:00Z,1834899.32326137
2024-01-17T00:00:00Z,1834918.1027378
2024-01-16T00:00:00Z,1836233.42050967
2024-01-15T00:00:00Z,1835820.60992674
2024-01-14T00:00:00Z,1836587.68955326
2024-01-13T00:00:00Z,1836771.36781504
2024-01-12T00:00:00Z,1835754.94233849
2024-01-11T00:00:00Z,1836292.11429155
2024-01-10T00:00:00Z,1836273.19267526
2024-01-09T00:00:00Z,1836834.06897793
2024-01-08T00:00:00Z,1836616.53504301
2024-01-07T00:00:00Z,1836972.85959411
2024-01-06T00:00:00Z,1837154.68773389
2024-01-05T00:00:00Z,1836789.64136871
2024-01-04T00:00:00Z,1839305.08793593
2024-01-03T00:00:00Z,1838721.60318759
2024-01-02T00:00:00Z,1838436.23113025
2024-01-01T00:00:00Z,1842380.10152422
2023-12-31T00:00:00Z,1839946.14853694
2023-12-30T00:00:00Z,1846462.9216008
2023-12-29T00:00:00Z,1859689.82365629
2023-12-28T00:00:00Z,1853838.75176613
2023-12-27T00:00:00Z,1849747.39312428
2023-12-26T00:00:00Z,1847993.91546737
2023-12-25T00:00:00Z,1845247.61723962
2023-12-24T00:00:00Z,1856318.98207655
2023-12-23T00:00:00Z,1852414.44161032
2023-12-22T00:00:00Z,1849688.94228652
2023-12-21T00:00:00Z,1846640.01297361
2023-12-20T00:00:00Z,1843824.00086721
2023-12-19T00:00:00Z,1843693.35938988
2023-12-18T00:00:00Z,1840962.66738389
2023-12-17T00:00:00Z,1841237.84076469
2023-12-16T00:00:00Z,1843174.96617646
2023-12-15T00:00:00Z,1840234.34765152
2023-12-14T00:00:00Z,1840251.44265676
2023-12-13T00:00:00Z,1839809.64805586
2023-12-12T00:00:00Z,1840647.52826985
2023-12-11T00:00:00Z,1838935.71064235
2023-12-10T00:00:00Z,1839066.20027002
2023-12-09T00:00:00Z,1839820.63429454
2023-12-08T00:00:00Z,1840859.43847635
2023-12-07T00:00:00Z,1840000.26809221
2023-12-06T00:00:00Z,1843028.06198574
2023-12-05T00:00:00Z,1847236.14993109
2023-12-04T00:00:00Z,1843767.23652596
2023-12-03T00:00:00Z,1844388.11877138
2023-12-02T00:00:00Z,1843439.36805569
2023-12-01T00:00:00Z,1842784.09334571
2023-11-30T00:00:00Z,1842428.58177267
2023-11-29T00:00:00Z,1843360.8044862
2023-11-28T00:00:00Z,1842945.38576817
2023-11-27T00:00:00Z,1843104.6014355
2023-11-26T00:00:00Z,1843253.79704115
2023-11-25T00:00:00Z,1843094.06504774
2023-11-24T00:00:00Z,1842940.83303094
2023-11-23T00:00:00Z,1842927.93488135
2023-11-22T00:00:00Z,1843734.28902635
2023-11-21T00:00:00Z,1843765.19991747
2023-11-20T00:00:00Z,1843284.67361459
2023-11-19T00:00:00Z,1844567.48738452
2023-11-18T00:00:00Z,1843718.7452842
2023-11-17T00:00:00Z,1842910.2198106
2023-11-16T00:00:00Z,1844700.1468117
2023-11-15T00:00:00Z,1844363.94518328
2023-11-14T00:00:00Z,1844086.4461925
2023-11-13T00:00:00Z,1843618.0764035
2023-11-12T00:00:00Z,1843716.56543779
2023-11-11T00:00:00Z,1843727.24992523
2023-11-10T00:00:00Z,1844093.37206971
2023-11-09T00:00:00Z,1866478.60975117
2023-11-08T00:00:00Z,1857026.35197238
2023-11-07T00:00:00Z,1848306.73478748
2023-11-06T00:00:00Z,1843739.91080731
2023-11-05T00:00:00Z,1844172.44356032
2023-11-04T00:00:00Z,1844979.85421281
2023-11-03T00:00:00Z,1844604.29040369
2023-11-02T00:00:00Z,1844177.33887764
2023-11-01T00:00:00Z,1846447.88539103
2023-10-31T00:00:00Z,1845448.91049627
2023-10-30T00:00:00Z,1845825.35670479
2023-10-29T00:00:00Z,1846343.16608718
2023-10-28T00:00:00Z,1845722.02027391
2023-10-27T00:00:00Z,1845690.67772464
2023-10-26T00:00:00Z,1844442.20314214
2023-10-25T00:00:00Z,1845102.91822657
2023-10-24T00:00:00Z,1846142.63763239
2023-10-23T00:00:00Z,1848113.71147002
2023-10-22T00:00:00Z,1846480.25485465
2023-10-21T00:00:00Z,1846170.59420281
2023-10-20T00:00:00Z,1846539.68423595
2023-10-19T00:00:00Z,1844098.86135195
2023-10-18T00:00:00Z,1843792.73350817
2023-10-17T00:00:00Z,1843203.54634996
2023-10-16T00:00:00Z,1843633.66361457
2023-10-15T00:00:00Z,1843997.30548931
